Order_id,Availability,Costs,Customer demographics,Defect rates,Inspection results,Lead time,Lead times,Location,Manufacturing costs,Manufacturing lead time,Number of products sold,Order quantities,Price,Product type,Production volumes,Revenue generated,Routes,Shipping carriers,Shipping costs,Shipping times,Stock levels,Supplier name,Transportation modes
6af613b6-569c-5c22-9c37-2ed93f31d3af,55,188.6846665905821,Non-binary,0.2244473294924971,Pending,29,8,Mumbai,43.46939311586944,29,802,98,71.93352924802173,haircare,214,8763.75914837703,Route B,Carrier B,2.6012919385599713,6,59,Supplier 3,Road
b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,55,187.49248136413584,Non-binary,0.22608565965517294,Pending,29,8,Mumbai,51.332779179547074,29,802,95,70.93395523903901,haircare,213,8499.239523228143,Route B,Carrier B,3.2201089763374884,3,58,Supplier 3,Road
4b166dbe-d99d-5091-abdd-95b83330ed3a,55,188.96812413199933,Non-binary,0.23195098309581963,Pending,29,9,Mumbai,47.134300044768985,29,802,98,72.89958415141447,haircare,213,8633.603195166655,Route B,Carrier B,3.257622149786048,2,57,Supplier 3,Road
98123fde-012f-5ff3-8b50-881449dac91a,55,190.61159562447332,Non-binary,0.2336157134138967,Pending,29,8,Mumbai,53.94554124776271,29,802,98,65.25922487375882,haircare,213,8658.388202503382,Route B,Carrier B,3.040813923891567,6,59,Supplier 3,Road
6ed955c6-506a-5343-9be4-2c0afae02eef,55,187.31244763840309,Non-binary,0.22107300316031317,Pending,29,8,Mumbai,40.76240177469783,29,802,95,77.74359871941677,haircare,216,8663.37479987267,Route B,Carrier B,2.703846505308633,3,57,Supplier 3,Road
c8691da2-158a-5ed6-8537-0e6f140801f2,55,187.31247846311481,Non-binary,0.22059445840111375,Pending,29,6,Mumbai,45.54754275791912,29,802,98,75.81800262485474,haircare,213,8677.631354980262,Route B,Carrier B,3.335908467375729,5,60,Supplier 3,Road
a6c4fc8f-6950-51de-a9ae-2c519c465071,55,190.7170802962368,Non-binary,0.22943228386529485,Pending,29,5,Mumbai,48.10107528490348,29,802,96,69.76916956987849,haircare,217,8714.873070003767,Route B,Carrier B,2.8833573008169657,3,57,Supplier 3,Road
a9f96b98-dd44-5216-ab0d-dbfc6b262edf,55,189.19295009098323,Non-binary,0.22965653993321306,Pending,29,6,Mumbai,45.59108993873609,29,802,96,70.51143027329726,haircare,217,8658.929801158007,Route B,Carrier B,3.303802242772891,2,60,Supplier 3,Road
e99caacd-6c45-5906-bd9f-b79e62f25963,55,186.8706275558617,Non-binary,0.2318816792506631,Pending,29,7,Mumbai,53.55344075859873,29,802,97,73.17447237554046,haircare,213,8630.115595798963,Route B,Carrier B,2.9418614397818312,2,57,Supplier 3,Road
e4d80b30-151e-51b5-9f4f-18a3b82718e6,55,188.77074320164894,Non-binary,0.22312777584970156,Pending,29,6,Mumbai,46.862052767464775,29,802,97,70.53841120615246,haircare,215,8626.691416431828,Route B,Carrier B,3.0864643680116375,6,56,Supplier 3,Road
0159d6c7-973f-5e7a-a9a0-d195d0ea6fe2,55,186.88199912290338,Non-binary,0.22646350556400136,Pending,29,7,Mumbai,49.12481163693051,29,802,95,74.47715536970223,haircare,216,8609.027313234848,Route B,Carrier B,2.87418972622991,5,60,Supplier 3,Road
7fef88f7-411d-5669-b42d-bf5fc7f9b58b,55,186.87765818084475,Non-binary,0.23239913434414972,Pending,29,7,Mumbai,50.79108889621077,29,802,98,70.60997318699124,haircare,214,8730.213769884276,Route B,Carrier B,2.710633952580216,2,57,Supplier 3,Road
52524d6e-10dc-5261-aa36-8b2efcbaa5f0,55,188.2063646458974,Non-binary,0.22192202804023042,Pending,29,6,Mumbai,41.55248590824818,29,802,97,69.14014356472256,haircare,215,8605.994516238225,Route B,Carrier B,2.630052135074484,4,56,Supplier 3,Road
