image_name,shipment_id,container_id,class_id,confidence,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,detected_at,model_version
14_20220428T012931844Z_s00.mp4_108400.jpg,2ad1dfa0-0791-4e07-b12c-9f5b268b6f66,CNT-59083db3-904b-4876-992a-3aee14f226d7,0,0.989,0.535185,0.273698,0.035185,0.197396,0.00694537826,2026-01-26 18:37:47.802469,yolo_v8
14_20220428T012931844Z_s00.mp4_108400.jpg,2ad1dfa0-0791-4e07-b12c-9f5b268b6f66,CNT-59083db3-904b-4876-992a-3aee14f226d7,0,0.987,0.95463,0.26849,0.02963,0.226562,0.00671303206,2026-01-26 18:37:47.802495,yolo_v8
14_20220428T012931844Z_s00.mp4_108400.jpg,2ad1dfa0-0791-4e07-b12c-9f5b268b6f66,CNT-59083db3-904b-4876-992a-3aee14f226d7,1,0.876,0.145833,0.521875,0.084259,0.022917,0.001930963503,2026-01-26 18:37:47.802498,yolo_v8
114_20220425T114900821Z_s00.mp4_35100.jpg,df75a457-a3f2-42b3-98fb-650fea877b70,CNT-8cebf7ae-ecfd-4484-abce-2a60220a5352,0,0.937,0.561111,0.27474,0.053704,0.226562,0.012167285648,2026-01-26 18:37:47.802771,yolo_v8
114_20220425T114900821Z_s00.mp4_35100.jpg,df75a457-a3f2-42b3-98fb-650fea877b70,CNT-8cebf7ae-ecfd-4484-abce-2a60220a5352,0,0.751,0.7875,0.351042,0.032407,0.159375,0.0051648656249999,2026-01-26 18:37:47.802774,yolo_v8
114_20220425T114900821Z_s00.mp4_35100.jpg,df75a457-a3f2-42b3-98fb-650fea877b70,CNT-8cebf7ae-ecfd-4484-abce-2a60220a5352,1,0.989,0.2,0.577865,0.138889,0.024479,0.003399863831,2026-01-26 18:37:47.802777,yolo_v8
109_20220211T041216722Z_s00.mp4_75800.jpg,45d62050-340e-422c-89a2-ab77ecd1f945,CNT-5ee962d3-0e4f-4afc-8a1f-1f273ab17970,0,0.839,0.735648,0.313021,0.049074,0.1625,0.007974525,2026-01-26 18:37:47.802973,yolo_v8
109_20220211T041216722Z_s00.mp4_75800.jpg,45d62050-340e-422c-89a2-ab77ecd1f945,CNT-5ee962d3-0e4f-4afc-8a1f-1f273ab17970,1,0.782,0.668981,0.521094,0.089815,0.018229,0.001637237635,2026-01-26 18:37:47.802977,yolo_v8
116_20220322T011330692Z_s00.mp4_23500.jpg,648f4444-df86-42ca-994a-a162adefab53,CNT-70b1dae1-1ddc-45c6-b8aa-f2b752da922b,0,0.937,0.808796,0.296615,0.060185,0.258854,0.0155791279899999,2026-01-26 18:37:47.803162,yolo_v8
116_20220322T011330692Z_s00.mp4_23500.jpg,648f4444-df86-42ca-994a-a162adefab53,CNT-70b1dae1-1ddc-45c6-b8aa-f2b752da922b,1,0.924,0.252315,0.667708,0.176852,0.026042,0.004605579784,2026-01-26 18:37:47.803165,yolo_v8
10_20220509T035631797Z_s00.mp4___650.jpg,e98b5b3a-67f9-4e0d-8eb7-c68558c7a047,CNT-ceda2210-82f0-4f1e-8320-0d83ba6ba049,0,0.968,0.37037,0.694531,0.024074,0.096354,0.002319626196,2026-01-26 18:37:47.803349,yolo_v8
10_20220509T035631797Z_s00.mp4___650.jpg,e98b5b3a-67f9-4e0d-8eb7-c68558c7a047,CNT-ceda2210-82f0-4f1e-8320-0d83ba6ba049,1,0.753,0.260648,0.817448,0.056481,0.009896,0.000558935976,2026-01-26 18:37:47.803351,yolo_v8
100_20220503T124218161Z_s00.mp4___1150.jpg,9d778bc6-4c82-4e87-ba93-dbe333c738e0,CNT-f3431c59-5238-4013-9e55-fa924f84f12f,0,0.832,0.59537,0.307292,0.074074,0.2375,0.017592575,2026-01-26 18:37:47.803561,yolo_v8
100_20220503T124218161Z_s00.mp4___1150.jpg,9d778bc6-4c82-4e87-ba93-dbe333c738e0,CNT-f3431c59-5238-4013-9e55-fa924f84f12f,1,0.764,0.558796,0.622135,0.141667,0.027604,0.0039105758679999,2026-01-26 18:37:47.803564,yolo_v8
118_20220509T012645596Z_s00.mp4_51000.jpg,2cd12bb1-a5f4-4cde-b9f5-57612974c565,CNT-c2675569-4598-4129-85e1-81c3ac97815a,0,0.823,0.819907,0.277604,0.049074,0.244792,0.012012922608,2026-01-26 18:37:47.803772,yolo_v8
118_20220509T012645596Z_s00.mp4_51000.jpg,2cd12bb1-a5f4-4cde-b9f5-57612974c565,CNT-c2675569-4598-4129-85e1-81c3ac97815a,1,0.922,0.381481,0.57474,0.098148,0.021354,0.002095852392,2026-01-26 18:37:47.803774,yolo_v8
12_20220315T113255541Z_s00.mp4_57100.jpg,5d770b0b-b55b-484c-b029-e904de93d27d,CNT-4685e5c6-d1f7-4877-a7fa-78598c41cf6a,0,0.777,0.82963,0.397135,0.040741,0.245312,0.009994256192,2026-01-26 18:37:47.803955,yolo_v8
12_20220315T113255541Z_s00.mp4_57100.jpg,5d770b0b-b55b-484c-b029-e904de93d27d,CNT-4685e5c6-d1f7-4877-a7fa-78598c41cf6a,1,0.966,0.85787,0.665365,0.119444,0.021354,0.002550607176,2026-01-26 18:37:47.803958,yolo_v8
117_20220322T120239110Z_s00.mp4_53100.jpg,7dd323f4-002c-4ff0-89c0-29c58200a42d,CNT-4f44b327-8e8b-4243-9afb-d9220119076b,0,0.8,0.577315,0.132031,0.391667,0.040104,0.015707413368,2026-01-26 18:37:47.804165,yolo_v8
117_20220322T120239110Z_s00.mp4_53100.jpg,7dd323f4-002c-4ff0-89c0-29c58200a42d,CNT-4f44b327-8e8b-4243-9afb-d9220119076b,1,0.953,0.358333,0.502083,0.105556,0.029167,0.003078751852,2026-01-26 18:37:47.804168,yolo_v8
107_20220322T114359242Z_s00.mp4_24900.jpg,b76753eb-2c49-4bdb-9797-1e4e0278b501,CNT-b3685484-f7fc-43f8-a6b7-9a67287fcfcd,0,0.872,0.693519,0.25599,0.046296,0.200521,0.009283320216,2026-01-26 18:37:47.804324,yolo_v8
107_20220322T114359242Z_s00.mp4_24900.jpg,b76753eb-2c49-4bdb-9797-1e4e0278b501,CNT-b3685484-f7fc-43f8-a6b7-9a67287fcfcd,1,0.941,0.727315,0.520312,0.102778,0.015625,0.00160590625,2026-01-26 18:37:47.804327,yolo_v8
143_20220504T121825221Z_s00.mp4___1650.jpg,4f94b6fa-06af-4c98-9808-6b473dc1d14c,CNT-4635b6ac-0b3f-4662-9ead-9d3cbdf813ac,0,0.832,0.103704,0.404687,0.053704,0.16875,0.00906255,2026-01-26 18:37:47.804514,yolo_v8
120_20220411T120859380Z_s00.mp4_78500.jpg,55df345d-2481-47eb-9610-5e6c47879ca5,CNT-1a256049-f93a-4051-a8bd-61257606dbc7,1,0.925,0.478241,0.290625,0.112037,0.022917,0.002567551929,2026-01-26 18:37:47.804781,yolo_v8
120_20220411T120859380Z_s00.mp4_78500.jpg,55df345d-2481-47eb-9610-5e6c47879ca5,CNT-1a256049-f93a-4051-a8bd-61257606dbc7,1,0.921,0.90463,0.311198,0.087037,0.018229,0.001586597473,2026-01-26 18:37:47.804785,yolo_v8
114_20220322T010912462Z_s00.mp4_11100.jpg,6ad2919e-6078-4bb6-b979-4031feafd63f,CNT-dd652b1d-bd37-4a69-b3ac-ba6a1dcd8a89,0,0.966,0.699074,0.255469,0.040741,0.258854,0.010545970814,2026-01-26 18:37:47.805018,yolo_v8
114_20220322T010912462Z_s00.mp4_11100.jpg,6ad2919e-6078-4bb6-b979-4031feafd63f,CNT-dd652b1d-bd37-4a69-b3ac-ba6a1dcd8a89,0,0.977,0.906944,0.324219,0.021296,0.206771,0.004403395216,2026-01-26 18:37:47.805021,yolo_v8
114_20220322T010912462Z_s00.mp4_11100.jpg,6ad2919e-6078-4bb6-b979-4031feafd63f,CNT-dd652b1d-bd37-4a69-b3ac-ba6a1dcd8a89,1,0.862,0.38287,0.605469,0.160185,0.024479,0.003921168615,2026-01-26 18:37:47.805023,yolo_v8
13_20210809T011025733Z_s00frame292031555653.jpg,e7c729b3-fdbe-4d6c-82fe-811b550672a7,CNT-13129192-ccbf-4322-8ada-9b78da5e2388,0,0.803,0.70787,0.43776,0.037963,0.157812,0.005991016956,2026-01-26 18:37:47.805210,yolo_v8
13_20210809T011025733Z_s00frame292031555653.jpg,e7c729b3-fdbe-4d6c-82fe-811b550672a7,CNT-13129192-ccbf-4322-8ada-9b78da5e2388,0,0.787,0.270833,0.483073,0.030556,0.128646,0.003930907176,2026-01-26 18:37:47.805213,yolo_v8
13_20210809T011025733Z_s00frame292031555653.jpg,e7c729b3-fdbe-4d6c-82fe-811b550672a7,CNT-13129192-ccbf-4322-8ada-9b78da5e2388,1,0.895,0.038426,0.657552,0.075,0.021354,0.00160155,2026-01-26 18:37:47.805215,yolo_v8
13_20210809T011025733Z_s00frame292031555653.jpg,e7c729b3-fdbe-4d6c-82fe-811b550672a7,CNT-13129192-ccbf-4322-8ada-9b78da5e2388,1,0.873,0.977778,0.63776,0.044444,0.018229,0.0008101696759999,2026-01-26 18:37:47.805217,yolo_v8
120_20220510T112053973Z_s00.mp4_12700.jpg,eeef5d7e-a5ea-4792-b8c8-4bedb1b93340,CNT-c1f56435-7f81-4e3c-85c3-aa713b947a6c,0,0.822,0.850926,0.208073,0.046296,0.206771,0.009572670216,2026-01-26 18:37:47.805431,yolo_v8
120_20220510T112053973Z_s00.mp4_12700.jpg,eeef5d7e-a5ea-4792-b8c8-4bedb1b93340,CNT-c1f56435-7f81-4e3c-85c3-aa713b947a6c,1,0.857,0.846759,0.500521,0.136111,0.019792,0.002693908912,2026-01-26 18:37:47.805434,yolo_v8
11_20220207T022018547Z_s00.mp4_22000.jpg,a9e5c2e9-b77e-412c-a35c-f865e5434ab7,CNT-1f7c7692-c102-4fc0-9b72-58cd3753b4fd,0,0.824,0.964352,0.321875,0.037963,0.202083,0.007671676929,2026-01-26 18:37:47.805642,yolo_v8
11_20220207T022018547Z_s00.mp4_22000.jpg,a9e5c2e9-b77e-412c-a35c-f865e5434ab7,CNT-1f7c7692-c102-4fc0-9b72-58cd3753b4fd,0,0.814,0.592593,0.251563,0.035185,0.247917,0.008722959645,2026-01-26 18:37:47.805644,yolo_v8
11_20220207T022018547Z_s00.mp4_22000.jpg,a9e5c2e9-b77e-412c-a35c-f865e5434ab7,CNT-1f7c7692-c102-4fc0-9b72-58cd3753b4fd,1,0.757,0.072222,0.567187,0.138889,0.01875,0.00260416875,2026-01-26 18:37:47.805646,yolo_v8
111_20220616T122159347Z_s00.mp4___850.jpg,c02731e3-c083-4fc0-9a60-010e52c1f8f6,CNT-50b93675-7deb-45e6-b334-d306088b462b,0,0.928,0.079167,0.420833,0.065741,0.197917,0.013011261497,2026-01-26 18:37:47.805833,yolo_v8
119_20220322T011600767Z_s00.mp4_100.jpg,d9f8824e-e2a0-4ba3-8dc5-f860d2ecb9e2,CNT-a009ea99-063a-41c1-a291-297e4772e13c,0,0.762,0.7625,0.292969,0.05463,0.254688,0.01391360544,2026-01-26 18:37:47.806043,yolo_v8
119_20220322T011600767Z_s00.mp4_100.jpg,d9f8824e-e2a0-4ba3-8dc5-f860d2ecb9e2,CNT-a009ea99-063a-41c1-a291-297e4772e13c,1,0.917,0.300926,0.648958,0.111111,0.032292,0.003587996412,2026-01-26 18:37:47.806045,yolo_v8
117_20220509T012618226Z_s00.mp4_7100.jpg,11df923c-2516-40eb-91da-9f8e9485ac1c,CNT-17f72287-df71-4273-880d-39bd8d4c619a,0,0.781,0.148611,0.297656,0.073148,0.330729,0.024192164892,2026-01-26 18:37:47.806255,yolo_v8
117_20220509T012618226Z_s00.mp4_7100.jpg,11df923c-2516-40eb-91da-9f8e9485ac1c,CNT-17f72287-df71-4273-880d-39bd8d4c619a,1,0.953,0.740741,0.75026,0.081481,0.031771,0.002588732851,2026-01-26 18:37:47.806258,yolo_v8
145_20220504T122028652Z_s00.mp4___700.jpg,3f434921-1a95-448b-874e-ae03a74e9816,CNT-5e2eab27-2870-4a24-9d5f-5e7e1c06be90,0,0.753,0.671296,0.361198,0.046296,0.194271,0.008993970216,2026-01-26 18:37:47.806447,yolo_v8
145_20220504T122028652Z_s00.mp4___700.jpg,3f434921-1a95-448b-874e-ae03a74e9816,CNT-5e2eab27-2870-4a24-9d5f-5e7e1c06be90,1,0.778,0.668519,0.6125,0.122222,0.026042,0.0031829053239999,2026-01-26 18:37:47.806449,yolo_v8
11_20220414T122439355Z_s00.mp4_21700.jpg,199dc058-9172-4576-a201-869dad8c49fc,CNT-f18bca50-f9a9-47b5-acdb-5e5bfa146399,0,0.967,0.549074,0.344271,0.02963,0.191667,0.00567909321,2026-01-26 18:37:47.806656,yolo_v8
11_20220414T122439355Z_s00.mp4_21700.jpg,199dc058-9172-4576-a201-869dad8c49fc,CNT-f18bca50-f9a9-47b5-acdb-5e5bfa146399,0,0.81,0.281944,0.236979,0.056481,0.286458,0.016179434298,2026-01-26 18:37:47.806658,yolo_v8
11_20220414T122439355Z_s00.mp4_21700.jpg,199dc058-9172-4576-a201-869dad8c49fc,CNT-f18bca50-f9a9-47b5-acdb-5e5bfa146399,1,0.828,0.787037,0.563281,0.109259,0.020313,0.002219378067,2026-01-26 18:37:47.806662,yolo_v8
113_20220509T012157401Z_s00.mp4_17900.jpg,6d6d19b7-1b2d-40a1-9441-e32edc34475d,CNT-e80dba1c-a3ef-4889-94f1-20452b6dbb13,0,0.815,0.833796,0.278385,0.060185,0.320312,0.01927797772,2026-01-26 18:37:47.806845,yolo_v8
113_20220509T012157401Z_s00.mp4_17900.jpg,6d6d19b7-1b2d-40a1-9441-e32edc34475d,CNT-e80dba1c-a3ef-4889-94f1-20452b6dbb13,1,0.756,0.338889,0.609375,0.133333,0.029167,0.003888923611,2026-01-26 18:37:47.806847,yolo_v8
165_20220617T122716001Z_s00.mp4___800.jpg,11b724f6-7774-4add-b92a-360ee5d70d65,CNT-b83950e8-75c7-40e1-9795-3847c28ded8a,0,0.816,0.523148,0.446094,0.033333,0.147396,0.004913150868,2026-01-26 18:37:47.807113,yolo_v8
10_20220315T010303302Z_s00.mp4_78400.jpg,efb9a402-24bf-4851-8b69-1e9405c35d45,CNT-ce75fc53-9345-4337-9078-8260ab5b644a,0,0.799,0.662037,0.159635,0.435185,0.085938,0.03739892853,2026-01-26 18:37:47.807275,yolo_v8
10_20220315T010303302Z_s00.mp4_78400.jpg,efb9a402-24bf-4851-8b69-1e9405c35d45,CNT-ce75fc53-9345-4337-9078-8260ab5b644a,1,0.927,0.796759,0.6125,0.106481,0.019792,0.002107471952,2026-01-26 18:37:47.807277,yolo_v8
121_20220510T112141405Z_s00.mp4_16000.jpg,3632c778-c5ea-4693-8f05-6ff202e4130f,CNT-e35559ac-30cc-40d6-934b-b3faf2339744,0,0.829,0.979167,0.311458,0.041667,0.251042,0.010460167014,2026-01-26 18:37:47.807481,yolo_v8
121_20220510T112141405Z_s00.mp4_16000.jpg,3632c778-c5ea-4693-8f05-6ff202e4130f,CNT-e35559ac-30cc-40d6-934b-b3faf2339744,0,0.838,0.629167,0.27526,0.043519,0.246354,0.010721079726,2026-01-26 18:37:47.807484,yolo_v8
121_20220510T112141405Z_s00.mp4_16000.jpg,3632c778-c5ea-4693-8f05-6ff202e4130f,CNT-e35559ac-30cc-40d6-934b-b3faf2339744,1,0.821,0.662963,0.590104,0.127778,0.021875,0.00279514375,2026-01-26 18:37:47.807485,yolo_v8
142_20220504T121723598Z_s00.mp4___400.jpg,af084393-9be8-425d-a796-48370d0d7bea,CNT-93a921de-c0ad-4621-b069-24274e7d5ecc,0,0.896,0.776389,0.41849,0.037963,0.144271,0.005476959973,2026-01-26 18:37:47.807669,yolo_v8
122_20220308T122829638Z_s00.mp4_7700.jpg,8cd6e018-bb07-4df8-99ef-f4c7d711b71e,CNT-5fd4960c-4fe2-4292-95d7-0b4a176cf05b,0,0.889,0.411574,0.377083,0.049074,0.1625,0.007974525,2026-01-26 18:37:47.807880,yolo_v8
