container_id,shipment_id,image_name,captured_at
CNT-0d286d4e-e517-4cd1-ba2d-a417b86dd8a8,daa1bd54-7572-49ea-8724-a368bc512212,111_20220211T041351392Z_s00.mp4_2400.jpg,2026-01-26 18:09:22.157528
CNT-20d88498-0c52-49d5-9bc6-50c4ec388cd4,60b01130-c9d8-4e5a-9bc0-0f1e0b66e10e,10_20220315T010303302Z_s00.mp4_44600.jpg,2026-01-26 18:09:22.157536
CNT-1b585db7-2711-4bcd-9207-83198c4b2175,8e25f765-5109-4ea5-953a-faeb349325fd,111_20220422T014816656Z_s00.mp4_14300.jpg,2026-01-26 18:09:22.157539
CNT-02078d9c-1d49-4e72-ad21-b1825298ea27,f0c7c23f-776d-4c1b-a3d2-fcebda253e65,104_20220321T021706325Z_s00.mp4_2000.jpg,2026-01-26 18:09:22.157545
CNT-546e061b-8fd0-4a81-8ae5-1587cb751de6,7a0533b7-6223-4558-9988-66627205202a,12_20220527T120309238Z_s00.mp4_1100.jpg,2026-01-26 18:09:22.157549
CNT-3c236ff6-8769-45d0-b685-2064ff16a1ce,9685098e-ab5f-494f-9c89-82437cf6c2de,119_20220322T120533980Z_s00.mp4_36300.jpg,2026-01-26 18:09:22.157552
CNT-4ec2fff0-6409-4345-9cce-3a3831079cb5,347842e3-54c1-4f3b-a1a4-257d08c88cdc,114_20220616T122504219Z_s00.mp4___750.jpg,2026-01-26 18:09:22.157554
CNT-d62cef2d-70b9-463f-bbe6-73b58b4a2f24,f246fa71-c56d-46a7-9f35-4f4531680017,104_20220506T124337874Z_s00.mp4_122600.jpg,2026-01-26 18:09:22.157560
CNT-a2b5e737-4dfa-4172-b412-c43c9a1cb031,e1bd1bc4-c860-41ff-9f79-d02dc6438ae0,122_20220425T120526983Z_s00.mp4_91000.jpg,2026-01-26 18:09:22.157564
CNT-1fdef76f-50af-486c-95b2-3a3bf06605ca,f25c5d77-6494-4b42-9647-2819c955105a,13_20210802T102721443Z_s00frame632599236716.jpg,2026-01-26 18:09:22.157567
CNT-3277119b-402b-4d98-a9fc-e11685dfd0d1,21e30cd7-0b78-45d4-9114-e86a03ad29ea,122_20220323T010604729Z_s00.mp4_62500.jpg,2026-01-26 18:09:22.157569
CNT-75c19b12-e5cc-4430-a3ee-1f2eedb74a5f,1ce6166c-9ec7-47d6-a4b8-be88ce302bc5,101_20220321T021439555Z_s00.mp4_900.jpg,2026-01-26 18:09:22.157572
CNT-7c2a4a24-d656-4992-b74b-48c1ae2499fa,d66d1ac4-b7ee-4b90-b8f3-0ec175d60bb3,123_20220503T061702133Z_s00.mp4___450.jpg,2026-01-26 18:09:22.157574
CNT-41ecbbd0-8175-4e9f-9e50-1469c7d57e18,7fcb43c5-3da3-4408-b4b5-a8de26cd038a,122_20220503T061600595Z_s00.mp4___500.jpg,2026-01-26 18:09:22.157577
