shipment_id,total_detections,avg_confidence,total_damage_area,dent_count,defect_rate,is_high_risk,shipment_id,product_id,supplier_id,shipping_carrier,transportation_mode,route,shipping_cost,total_cost,shipping_time,shipped_at
76ca8527-35b6-4b6e-82a5-ac1516853d14,4,0.8425,0.0114806220869999,0,0.22608565965517294,0,76ca8527-35b6-4b6e-82a5-ac1516853d14,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,a3257930-e46a-4994-ae1c-28e5a794489e,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
bf046423-d395-4109-8431-e03a6ac08bf5,2,0.887,0.0128592131749998,0,0.23239913434414972,1,bf046423-d395-4109-8431-e03a6ac08bf5,7fef88f7-411d-5669-b42d-bf5fc7f9b58b,bccc2020-682a-4478-9518-a1e220548c72,Carrier B,Road,Route B,2.71,186.88,2,2026-01-24
160ad73a-faa7-4cd5-a68d-7c351a0c30a1,2,0.856,0.005352048880999999,0,0.22483919315546763,0,160ad73a-faa7-4cd5-a68d-7c351a0c30a1,23986425-d3a5-5e13-8bab-299745777a8d,27415fea-7f99-4659-89b0-5ff57dc2ef2b,Carrier B,Road,Route B,2.69,186.7,2,2026-01-24
f221fddb-9725-456b-a674-d6c3315328b2,2,0.866,0.0106095226079999,0,0.2218341971872715,0,f221fddb-9725-456b-a674-d6c3315328b2,ce1ae2d5-3454-5952-97ff-36ff935bcfe9,bccc2020-682a-4478-9518-a1e220548c72,Carrier B,Road,Route B,2.77,188.46,6,2026-01-24
6a5c35a6-8d70-4b53-982e-9ece522a34c2,3,0.908,0.0084722732059999,0,0.22789816271935673,0,6a5c35a6-8d70-4b53-982e-9ece522a34c2,8f8173d9-2f8d-5636-a693-24d9f79ba651,bdf8677d-73aa-408a-b2cd-78caba9743e4,Carrier B,Road,Route B,3.31,191.23,2,2026-01-24
d101feec-dbf3-4840-be5f-0d6e66d9245b,2,0.882,0.017634142091,0,0.2299694144367816,0,d101feec-dbf3-4840-be5f-0d6e66d9245b,8828c9d6-ed76-5c09-bf64-ba9e9cd90896,27415fea-7f99-4659-89b0-5ff57dc2ef2b,Carrier B,Road,Route B,2.72,188.14,2,2026-01-24
0d788ed6-669b-44fc-b386-f52fc68e90e1,2,0.836,0.004330654784,0,4.790198346028704,1,0d788ed6-669b-44fc-b386-f52fc68e90e1,96f3de0e-6412-5434-b406-67ef3352ab85,27415fea-7f99-4659-89b0-5ff57dc2ef2b,Carrier A,Road,Route B,8.99,496.38,2,2026-01-24
bd536c49-1f69-4fcb-8cbb-5124cefe0975,4,0.8345,0.013594748746,0,4.907944993815013,1,bd536c49-1f69-4fcb-8cbb-5124cefe0975,c13d0b5d-1ca3-57b6-a23f-8586bca44928,bdf8677d-73aa-408a-b2cd-78caba9743e4,Carrier A,Road,Route B,9.78,503.93,2,2026-01-24
83cb0338-3d4f-46eb-9de4-6459f6153563,2,0.857,0.020611465296999996,0,4.847824680394976,1,83cb0338-3d4f-46eb-9de4-6459f6153563,7e645493-0898-5501-8155-e8578b4f5224,27415fea-7f99-4659-89b0-5ff57dc2ef2b,Carrier A,Road,Route B,9.11,508.38,4,2026-01-24
8f16c0e6-d697-4698-99cf-5ef3089932e8,2,0.7915000000000001,0.0074653264469998,0,4.984286174457403,1,8f16c0e6-d697-4698-99cf-5ef3089932e8,44b1d52f-cb65-59c3-a00a-a9f9a6b92247,f1782e5c-c599-41d6-aca4-bd1ed4a54d33,Carrier A,Road,Route B,8.66,504.7,3,2026-01-24
